Unit,Status,Rent,Deposit,Lease From,Lease To,Move-in,Move-out,Next Rent Increase Date

"-> 2366-2368 N 44th St. (Duplex) - 2366-2368 N 44th St. Milwaukee, WI 53210","","","","","","","",""
2366 Lower,Current,"1,000.00",825.00,08/23/2023,02/28/2027,08/23/2023,,
2368 Upper,Current,"1,125.00","1,100.00",12/01/2023,,12/01/2023,,
2 Units,100.0% Occupied,"2,125.00","1,925.00",,,,,
"-> 2671-2673 N 45th St. (Duplex) - 2671-2673 N 45th St. Milwaukee, WI 53210","","","","","","","",""
2671 (Lower),Current,"1,150.00","1,150.00",04/15/2026,03/31/2027,04/15/2026,,
2673 (Upper),Current,"1,295.00","1,295.00",08/15/2025,07/31/2026,08/15/2025,,
2 Units,100.0% Occupied,"2,445.00","2,445.00",,,,,
"-> 5541-5543 N 35th St. (Duplex) - 5541-5543 N 35th St. Milwaukee, WI 53209","","","","","","","",""
5541 (Lower),Current,"1,025.00",945.00,12/29/2023,07/31/2026,12/29/2023,,
5543 (Upper),Current,"1,195.00","1,195.00",11/07/2025,07/31/2026,11/07/2025,,
2 Units,100.0% Occupied,"2,220.00","2,140.00",,,,,
"-> 752 N 26th St. (4 Unit) - 752 N 26th St. Milwaukee, WI 53233","","","","","","","",""
1,Current,"1,300.00","1,300.00",02/01/2026,01/31/2027,02/01/2026,,
2,Current,979.00,979.00,11/01/2024,10/31/2026,11/01/2024,,
3,Current,875.00,850.00,09/16/2024,08/31/2026,09/16/2024,,
4,Current,979.00,979.00,11/01/2024,10/31/2026,11/01/2024,,
4 Units,100.0% Occupied,"4,133.00","4,108.00",,,,,

Total 10 Units,100.0% Occupied,"10,923.00","10,618.00",,,,,
