Unit,Status,Rent,Deposit,Lease From,Lease To,Move-in,Move-out,Next Rent Increase Date

"-> 2366-2368 N 44th St. (Duplex) - 2366-2368 N 44th St. Milwaukee, WI 53210","","","","","","","",""
2366 Lower,Current,950.00,825.00,08/23/2023,,08/23/2023,,03/01/2026
2368 Upper,Current,"1,125.00","1,100.00",12/01/2023,,12/01/2023,,12/01/2025
2 Units,100.0% Occupied,"2,075.00","1,925.00",,,,,
"-> 2671-2673 N 45th St. (Duplex) - 2671-2673 N 45th St. Milwaukee, WI 53210","","","","","","","",""
2671 (Lower),Notice-Unrented,"1,150.00","1,150.00",11/01/2023,10/31/2024,11/01/2023,02/28/2026,11/01/2025
2673 (Upper),Current,"1,295.00","1,295.00",08/15/2025,07/31/2026,08/15/2025,,
2 Units,100.0% Occupied,"2,445.00","2,445.00",,,,,
"-> 5541-5543 N 35th St. (Duplex) - 5541-5543 N 35th St. Milwaukee, WI 53209","","","","","","","",""
5541 (Lower),Current,"1,025.00",945.00,12/29/2023,07/31/2026,12/29/2023,,
5543 (Upper),Notice-Rented,"1,120.00",925.00,11/10/2022,04/30/2026,11/10/2022,09/08/2025,
2 Units,100.0% Occupied,"2,145.00","1,870.00",,,,,
"-> 752 N 26th St. (4 Unit) - 752 N 26th St. Milwaukee, WI 53233","","","","","","","",""
1,Notice-Rented,"1,225.00","1,225.00",11/01/2024,10/31/2025,11/01/2024,11/15/2025,
2,Current,979.00,979.00,11/01/2024,10/31/2026,11/01/2024,,
3,Current,850.00,850.00,09/16/2024,08/31/2026,09/16/2024,,09/01/2025
4,Current,979.00,979.00,11/01/2024,10/31/2026,11/01/2024,,
4 Units,100.0% Occupied,"4,033.00","4,033.00",,,,,

Total 10 Units,100.0% Occupied,"10,698.00","10,273.00",,,,,
